iter	Passed	Remaining
0	506	506047
1	944	471358
2	1343	446529
3	1725	429629
4	2121	422267
5	2513	416380
6	2898	411135
7	3318	411499
8	4119	453573
9	4493	444869
10	4873	438201
11	5262	433261
12	5649	428901
13	6040	425432
14	6407	420761
15	6776	416778
16	7174	414844
17	7548	411789
18	7939	409924
19	8316	407527
20	8711	406129
21	9104	404758
22	9499	403542
23	9881	401857
24	10254	399944
25	10644	398748
26	11038	397810
27	11404	395904
28	11785	394604
29	12158	393113
30	12525	391520
31	12924	390963
32	13319	390290
33	13708	389469
34	14110	389033
35	14563	389979
36	14991	390178
37	15377	389288
38	15773	388671
39	16158	387794
40	16575	387716
41	16972	387138
42	17678	393444
43	18414	400107
44	19067	404654
45	19646	407444
46	20385	413342
47	20781	412175
48	21164	410772
49	21535	409167
50	21938	408231
51	22332	407144
52	22762	406711
53	23137	405339
54	23566	404908
55	24071	405784
56	24603	407042
57	25102	407703
58	25700	409905
59	26037	407914
60	26374	405987
61	26702	403983
62	27063	402519
63	27580	403367
64	28181	405375
65	28644	405356
66	28990	403699
67	29305	401655
68	29666	400281
69	30119	400158
70	30673	401347
71	31059	400319
72	31424	399044
73	31835	398368
74	32220	397383
75	32590	396234
76	32966	395164
77	33313	393787
78	33893	395134
79	34288	394319
80	34708	393794
81	35279	394952
82	35832	395888
83	36405	396988
84	36929	397534
85	37883	402625
86	38588	404962
87	39085	405072
88	39672	406088
89	40244	406914
90	40785	407410
91	41308	407695
92	41695	406643
93	42174	406486
94	42566	405504
95	43542	410028
96	44728	416390
97	45102	415122
98	45872	417488
99	46414	417733
100	46927	417699
101	47506	418242
102	48140	419246
103	48514	417972
104	49273	419997
105	50225	423595
106	50652	422733
107	51380	424361
108	51822	423613
109	52264	422867
110	52650	421674
111	53123	421190
112	53683	421391
113	54103	420489
114	54474	419215
115	54825	417806
116	55186	416491
117	55560	415288
118	55914	413958
119	56294	412828
120	56637	411444
121	57046	410549
122	57386	409168
123	57886	408943
124	58513	409596
125	59073	409761
126	59690	410315
127	60243	410412
128	60660	409574
129	61254	409936
130	61593	408588
131	61931	407246
132	62280	405996
133	63107	407846
134	63837	409031
135	64267	408285
136	64753	407898
137	65217	407375
138	65749	407265
139	66303	407290
140	67205	409428
141	67943	410534
142	68621	411248
143	69323	412089
144	70089	413288
145	70964	415092
146	72025	417946
147	73338	422191
148	74312	424430
149	75070	425402
150	75748	425896
151	76611	427411
152	77062	426615
153	77445	425447
154	77789	424076
155	78166	422902
156	78517	421594
157	78898	420461
158	79258	419223
159	79636	418091
160	80009	416942
161	80942	418704
162	81675	419402
163	83351	424889
164	84166	425931
165	85166	427882
166	85754	427744
167	86326	427523
168	86817	426895
169	87303	426248
170	87824	425767
171	88325	425195
172	88887	424913
173	89537	425044
174	90367	426019
175	91370	427780
176	92353	429418
177	94198	435007
178	95495	437996
179	95913	436937
180	96272	435618
181	96686	434556
182	97262	434227
183	97661	433109
184	98007	431761
185	98400	430634
186	98763	429385
187	99121	428121
188	99491	426920
189	99881	425811
190	100250	424620
191	100644	423545
192	100999	422312
193	101359	421110
194	101732	419972
195	102122	418911
196	102515	417867
197	102873	416690
198	103261	415639
199	103643	414573
200	104003	413426
201	104420	412511
202	104797	411445
203	105228	410595
204	105645	409697
205	106002	408574
206	106391	407577
207	106745	406452
208	107125	405435
209	107599	404779
210	108247	404772
211	108802	404415
212	109476	404497
213	109950	403836
214	110328	402828
215	110758	402012
216	111149	401061
217	111541	400115
218	111892	399033
219	112485	398812
220	112974	398220
221	113388	397369
222	113805	396532
223	114204	395635
224	114611	394774
225	115095	394177
226	115497	393301
227	115869	392331
228	116276	391482
229	116668	390586
230	117043	389638
231	117419	388697
232	117794	387761
233	118152	386772
234	118517	385812
235	118902	384922
236	119288	384037
237	119668	383141
238	120065	382301
239	120436	381383
240	120856	380622
241	121238	379746
242	121694	379104
243	122070	378219
244	122497	377492
245	122892	376671
246	123318	375946
247	123698	375087
248	124134	374396
249	124524	373572
250	124944	372842
251	125314	371966
252	125706	371157
253	126116	370405
254	126482	369527
255	126905	368818
256	127302	368038
257	127676	367193
258	128083	366446
259	128485	365689
260	128863	364866
261	129267	364120
262	129650	363315
263	130077	362639
264	130477	361890
265	130871	361127
266	131331	360545
267	131770	359910
268	132243	359369
269	132655	358661
270	133051	357914
271	133445	357163
272	133803	356320
273	134168	355498
274	134578	354799
275	134959	354025
276	135373	353339
277	135769	352610
278	136193	351954
279	136556	351145
280	136940	350391
281	137327	349650
282	137708	348894
283	138092	348148
284	138471	347392
285	138891	346742
286	139280	346018
287	139726	345434
288	140143	344782
289	140549	344103
290	140953	343422
291	141319	342650
292	141850	342280
293	142387	341922
294	142916	341546
295	143347	340933
296	144076	341028
297	144594	340621
298	145074	340124
299	145648	339846
300	146184	339478
301	146720	339109
302	147252	338729
303	147769	338313
304	148326	337990
305	148844	337574
306	149317	337058
307	149853	336683
308	150381	336290
309	150997	336091
310	151522	335687
311	152068	335331
312	152839	335466
313	153639	335658
314	154178	335277
315	154695	334847
316	155277	334556
317	155807	334153
318	156292	333653
319	156996	333617
320	157548	333255
321	158187	333077
322	158747	332731
323	159292	332351
324	159775	331841
325	160351	331524
326	160907	331165
327	161466	330809
328	162244	330900
329	163147	331238
330	163942	331351
331	164743	331472
332	165624	331745
333	166677	332357
334	167799	333095
335	168716	333416
336	169738	333936
337	170754	334435
338	171583	334562
339	172439	334735
340	173345	334999
341	174599	335924
342	175158	335508
343	175630	334922
344	176064	334267
345	176506	333628
346	176912	332922
347	177385	332343
348	177813	331680
349	178262	331058
350	178679	330379
351	179123	329750
352	179530	329054
353	179922	328333
354	180463	327884
355	181238	327857
356	181828	327495
357	182263	326852
358	182865	326509
359	183665	326516
360	184641	326831
361	185477	326891
362	186294	326913
363	187072	326862
364	187888	326875
365	188816	327075
366	189691	327178
367	190523	327203
368	191259	327058
369	191811	326597
370	192241	325930
371	192658	325241
372	193058	324523
373	193462	323817
374	193947	323245
375	194391	322606
376	194831	321962
377	195266	321311
378	195708	320673
379	196166	320061
380	196579	319376
381	196994	318698
382	197462	318104
383	197949	317544
384	198386	316903
385	198925	316425
386	199440	315909
387	200162	315720
388	200869	315504
389	201668	315430
390	202137	314837
391	202740	314454
392	203398	314155
393	203945	313682
394	204527	313263
395	204994	312668
396	205496	312126
397	205970	311542
398	206822	311529
399	207454	311181
400	208238	311058
401	208755	310536
402	209729	310690
403	210267	310196
404	210706	309557
405	211172	308957
406	211582	308276
407	211991	307595
408	212937	307692
409	213623	307409
410	214387	307236
411	215031	306889
412	215695	306569
413	216228	306062
414	216960	305836
415	217540	305392
416	218088	304905
417	218501	304229
418	218905	303542
419	219329	302883
420	219931	302470
421	220397	301870
422	220785	301166
423	221159	300443
424	221552	299747
425	221919	299017
426	222340	298363
427	222755	297701
428	223188	297064
429	223675	296499
430	224177	295955
431	224739	295491
432	225157	294836
433	225589	294201
434	225974	293506
435	226404	292872
436	226885	292302
437	227303	291653
438	227731	291019
439	228158	290383
440	228563	289721
441	228963	289053
442	229381	288410
443	229766	287725
444	230166	287062
445	230593	286432
446	230980	285754
447	231390	285105
448	231805	284464
449	232225	283831
450	232656	283211
451	233101	282610
452	233591	282063
453	234099	281538
454	234576	280976
455	235438	280874
456	236089	280518
457	236780	280207
458	237555	279995
459	238303	279747
460	239076	279527
461	239762	279203
462	240340	278754
463	240964	278355
464	241864	278273
465	242601	278002
466	243446	277852
467	244584	278032
468	245490	277943
469	246221	277654
470	247004	277421
471	248107	277543
472	248987	277413
473	250134	277575
474	251264	277712
475	252425	277879
476	252941	277334
477	254055	277441
478	254911	277263
479	255383	276664
480	255892	276108
481	256405	275555
482	256881	274964
483	257813	274859
484	258439	274424
485	259658	274618
486	260562	274473
487	260984	273819
488	261410	273170
489	261829	272515
490	262273	271888
491	262689	271232
492	263131	270603
493	263592	269995
494	264016	269349
495	264459	268724
496	264968	268167
497	265433	267565
498	265895	266961
499	266709	266709
500	267470	266402
501	268520	266381
502	269606	266390
503	270103	265815
504	270518	265161
505	270952	264527
506	271342	263849
507	271784	263224
508	272627	262986
509	273122	262411
510	274132	262330
511	274793	261912
512	275861	261879
513	276760	261684
514	277331	261176
515	277826	260596
516	278354	260048
517	278848	259469
518	279512	259046
519	280282	258721
520	281225	258554
521	281748	257999
522	282229	257405
523	282664	256771
524	283218	256245
525	283925	255857
526	284344	255208
527	284771	254568
528	285195	253926
529	285641	253304
530	286076	252673
531	286506	252039
532	286941	251410
533	287357	250765
534	287770	250118
535	288161	249452
536	288615	248843
537	289207	248353
538	289689	247767
539	290115	247135
540	290516	246482
541	290924	245836
542	291353	245209
543	291821	244614
544	292250	243988
545	292720	243397
546	293244	242851
547	294132	242605
548	294645	242049
549	295090	241437
550	295554	240842
551	296045	240268
552	296492	239660
553	296991	239094
554	297467	238509
555	297934	237918
556	298408	237334
557	298865	236735
558	299296	236117
559	299732	235503
560	300238	234946
561	300724	234372
562	301241	233823
563	301798	233305
564	302419	232836
565	303014	232346
566	303617	231863
567	304208	231370
568	304709	230808
569	305333	230339
570	306017	229914
571	306595	229410
572	307220	228941
573	307870	228489
574	308532	228045
575	309129	227553
576	309803	227117
577	310287	226542
578	311048	226168
579	311729	225735
580	312392	225288
581	312989	224792
582	313626	224326
583	314426	223974
584	315559	223858
585	316276	223444
586	316901	222965
587	317511	222474
588	317974	221880
589	318393	221256
590	318876	220677
591	319353	220094
592	319816	219503
593	320287	218917
594	320744	218321
595	321177	217710
596	321598	217092
597	321989	216454
598	322443	215859
599	322979	215319
600	323651	214869
601	324151	214306
602	324796	213837
603	325338	213301
604	326247	213004
605	326754	212444
606	327198	211843
607	327621	211229
608	328079	210638
609	328489	210017
610	329241	209615
611	329685	209016
612	330177	208448
613	330716	207909
614	331193	207332
615	331661	206750
616	332168	206192
617	332638	205611
618	333083	205015
619	333544	204430
620	334066	203882
621	334504	203283
622	335121	202794
623	335660	202257
624	336172	201703
625	336651	201130
626	337206	200602
627	337687	200031
628	338146	199447
629	338720	198931
630	339277	198404
631	339830	197875
632	340962	197682
633	342106	197493
634	342979	197145
635	343547	196621
636	344206	196149
637	344969	195735
638	345455	195163
639	346124	194694
640	346811	194236
641	347313	193673
642	347830	193119
643	348504	192651
644	349430	192322
645	350245	191930
646	351135	191577
647	351709	191052
648	353922	191412
649	354442	190853
650	355130	190384
651	356163	190099
652	357545	189997
653	358462	189645
654	358851	189013
655	359253	188388
656	359662	187768
657	360021	187123
658	360635	186611
659	361064	186002
660	361744	185524
661	362158	184908
662	363004	184513
663	363625	184003
664	364045	183391
665	364864	182980
666	365719	182585
667	366581	182193
668	367066	181612
669	367455	180985
670	367988	180429
671	368630	179926
672	369050	179315
673	369417	178679
674	369833	178067
675	370544	177598
676	370981	176996
677	371379	176377
678	371785	175763
679	372205	175155
680	372586	174530
681	372958	173901
682	373348	173281
683	373769	172677
684	374151	172055
685	374541	171437
686	374929	170819
687	375352	170217
688	375737	169599
689	376118	168980
690	376505	168364
691	376893	167750
692	377323	167154
693	377727	166548
694	378137	165945
695	378894	165494
696	379653	165043
697	380046	164432
698	380659	163917
699	381199	163371
700	381658	162790
701	382071	162189
702	382462	161580
703	382851	160971
704	383260	160371
705	383701	159785
706	384203	159224
707	384578	158611
708	385286	158136
709	385716	157546
710	386250	156999
711	386622	156386
712	387517	155985
713	388270	155525
714	388735	154950
715	389204	154377
716	389702	153815
717	390094	153212
718	390487	152610
719	390901	152017
720	391302	151419
721	391704	150822
722	392175	150252
723	392664	149689
724	393124	149116
725	393582	148542
726	393975	147943
727	394377	147349
728	394776	146754
729	395513	146285
730	396094	145758
731	396568	145191
732	396994	144607
733	397399	144016
734	397936	143473
735	398385	142898
736	398882	142342
737	399518	141834
738	400323	141386
739	400798	140821
740	401431	140311
741	402445	139933
742	402913	139365
743	403476	138830
744	403928	138257
745	404476	137717
746	405012	137172
747	405377	136571
748	405888	136018
749	406285	135428
750	406719	134850
751	407109	134259
752	407506	133670
753	407895	133079
754	408447	132542
755	409113	132041
756	409513	131455
757	410049	130913
758	410707	130409
759	411119	129827
760	411866	129351
761	412269	128766
762	412985	128280
763	413841	127835
764	414685	127387
765	415070	126796
766	415879	126336
767	416848	125922
768	417615	125447
769	418179	124910
770	418629	124340
771	419105	123777
772	419846	123292
773	420534	122791
774	421173	122276
775	421712	121731
776	422092	121140
777	422494	120557
778	423004	120005
779	423431	119429
780	423854	118853
781	424315	118287
782	424702	117701
783	425066	117110
784	425471	116530
785	426045	115997
786	426484	115427
787	427143	114916
788	427857	114420
789	428440	113889
790	429031	113359
791	429664	112841
792	430108	112273
793	430532	111699
794	430973	111131
795	431404	110560
796	431843	109992
797	432266	109420
798	432673	108845
799	433096	108274
800	433512	107701
801	433949	107134
802	434388	106568
803	434795	105994
804	435200	105421
805	435572	104840
806	435999	104272
807	436436	103707
808	436830	103132
809	437296	102575
810	437709	102006
811	438116	101435
812	438523	100865
813	438926	100295
814	439339	99727
815	439720	99152
816	440127	98584
817	440517	98012
818	440902	97439
819	441331	96877
820	441845	96334
821	442242	95765
822	442668	95203
823	443247	94674
824	443625	94102
825	443999	93530
826	444423	92968
827	444856	92409
828	445271	91847
829	445748	91297
830	446176	90738
831	446610	90181
832	446993	89613
833	447380	89047
834	447802	88487
835	448154	87915
836	448561	87354
837	448938	86787
838	449333	86224
839	449778	85672
840	450226	85120
841	450631	84560
842	451042	84001
843	451523	83456
844	451944	82901
845	452382	82348
846	452780	81789
847	453198	81233
848	453616	80678
849	454034	80123
850	454448	79568
851	454866	79014
852	455247	78454
853	455669	77901
854	456095	77349
855	456575	76807
856	457095	76271
857	457541	75723
858	457952	75170
859	458335	74612
860	458770	74063
861	459212	73516
862	459657	72969
863	460079	72419
864	460505	71870
865	460975	71328
866	461398	70779
867	461804	70228
868	462214	69677
869	462666	69134
870	463101	68587
871	463577	68048
872	464116	67517
873	464541	66970
874	464946	66420
875	465355	65872
876	465854	65336
877	466270	64789
878	466684	64242
879	467112	63697
880	467507	63147
881	467913	62600
882	468375	62061
883	468854	61523
884	469310	60983
885	469743	60441
886	470145	59894
887	470563	59350
888	470956	58803
889	471386	58261
890	471784	57715
891	472255	57178
892	472813	56652
893	473375	56127
894	473881	55595
895	474403	55064
896	474911	54532
897	475370	53995
898	475776	53452
899	476193	52910
900	476701	52378
901	477344	51862
902	477909	51336
903	478492	50813
904	479007	50282
905	479419	49741
906	479817	49198
907	480222	48656
908	480645	48117
909	481308	47601
910	481722	47061
911	482144	46522
912	482653	45992
913	483274	45472
914	483939	44956
915	484575	44437
916	485182	43915
917	485790	43393
918	486402	42871
919	486785	42329
920	487202	41790
921	487604	41250
922	488037	40713
923	488432	40174
924	488867	39637
925	489276	39099
926	489633	38557
927	490056	38021
928	490470	37484
929	490869	36947
930	491307	36412
931	491902	35889
932	492380	35358
933	492817	34824
934	493201	34286
935	493611	33751
936	494025	33216
937	494419	32680
938	494867	32147
939	495428	31623
940	495942	31095
941	496429	30565
942	497036	30043
943	497495	29512
944	497865	28976
945	498268	28442
946	498657	27907
947	499173	27380
948	499650	26851
949	500089	26320
950	500627	25794
951	501174	25269
952	501628	24739
953	502024	24206
954	502584	23681
955	503115	23155
956	503516	22624
957	503905	22091
958	504495	21568
959	505002	21041
960	505427	20511
961	505855	19981
962	506366	19455
963	506790	18925
964	507191	18395
965	507673	17868
966	508205	17343
967	508660	16815
968	509125	16287
969	509625	15761
970	510038	15232
971	510512	14706
972	510944	14178
973	511386	13650
974	511816	13123
975	512258	12596
976	512692	12069
977	513090	11541
978	513481	11014
979	513906	10487
980	514320	9961
981	514744	9435
982	515153	8909
983	515544	8382
984	515951	7857
985	516323	7331
986	516708	6805
987	517162	6281
988	517592	5756
989	517977	5232
990	518411	4708
991	518916	4184
992	519365	3661
993	519769	3137
994	520205	2614
995	520615	2090
996	521080	1567
997	521526	1045
998	521980	522
999	522388	0
